#1 Temperature Entered: 2
#2 Temperature Entered: 2
 The Difference Between #1 & #2: 0
#3 Temperature Entered: 2
 The Difference Between #2 & #3: 0
#4 Temperature Entered: 2
 The Difference Between #3 & #4: 0
#5 Temperature Entered: 2
 The Difference Between #4 & #5: 0
#6 Temperature Entered: 2
 The Difference Between #5 & #6: 0
#7 Temperature Entered: 2
 The Difference Between #6 & #7: 0
#8 Temperature Entered: 2
 The Difference Between #7 & #8: 0
#9 Temperature Entered: 2
 The Difference Between #8 & #9: 0
#10 Temperature Entered: 2
 The Difference Between #9 & #10: 0
#11 Temperature Entered: 2
 The Difference Between #10 & #11: 0
#12 Temperature Entered: 2
 The Difference Between #11 & #12: 0
